Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product
AtTPS12	AT4G13280	7733110	7736741	(Z)-&gamma;-bisabolene synthase
Lj6g0025835	Lj6g0025835			Lj6g0025835.1
AT4G36480	AT4G36480	17218135	17221480	serine C-palmitoyltransferase
PsbD	ATCG00270	32711	33772	D2
Glu1				&beta;-glucosidase
AT5G66510	AT5G66510	26566930	26568856	NADH-ubiquinone oxidoreductase subunit
NUOB4		1209230	1210713	190543
VTC4	AT3G02870	627519	629852	L-galactose-1-phosphate phosphatase
MT3	NIL			(S)-scoulerine 9-O-methyltransferase
AT1G35290	AT1G35290			acyl-lipid thioesterase 1
AT3G03480	AT3G03480	828303	829903	acetyl CoA:(Z)-3-hexen-1-ol acetyltransferase
Cre17.g711150	Cre17.g711150			Cre17.g711150.t1.2
Soltu.DM.07G021440	Soltu.DM.07G021440			Soltu.DM.07G021440.1
GA2ox6	AT1G02400	486801	489577	C-19 gibberellin 2-oxidase
AT2G32260	AT2G32260	13704593	13707718	choline-phosphate cytidylyltransferase
AT5G64000	AT5G64000	25633864	25635857	3'(2'),5'-bisphosphate nucleotidase//inositol or phosphatidylinositol phosphatase
AANTSYNB	NIL			alpha2 anthranilate synthase
AT5G44630	AT5G44630	18020482	18022843	(-)-beta-bisabolene synthase [multifunctional]
AT2G26480	AT2G26480	11271041	11272762	UDP-glycosyltransferase
Tps-MBO1	NIL			2-methyl-3-buten-2-ol synthase
CDS5	AT3G60620	22417381	22419572	phosphatidate cytidylyltransferase
AT3G10870	AT3G10870	3401083	3402677	methyl indole-3-acetate methyltransferase
AT5G54190	AT5G54190	22008138	22010038	protochlorophyllide reductase
AT3G48720	AT3G48720	18057308	18060448	omega-hydroxypalmitate O-sinapoyl transferase [multifunctional]
bas1	NIL			beta-amyrin synthase
XGD1	AT5G33290			xylogalacturonan xylosyltransferase
SCCE	NIL			cholesterol monoxygenase
3'GT	NIL			anthocyanin 3'-glucosyltransferase
AT4G32840	AT4G32840	15844784	15848445	6-phosphofructokinase
NAD-ME2	AT4G00570	242515	246771	NAD-dependent malic enzyme
AT1G79010	AT1G79010	29729772	29731921	NADH-ubiquinone oxidoreductase 23 kDa subunit
MGD3	AT2G11810	4750404	4753859	UDP-galactose:DAG galactosyltransferase
Glyma.14G046500	Glyma.14G046500			Glyma.14G046500
SGT2	NIL			soyasapogenol B glucuronide galactosyltransferase
CCR1	AT1G15950	5478748	5482159	cinnamoyl-CoA reductase
AT1G61810	AT1G61810	22833682	22836627	beta-glucosidase 45
Lj5g0016867	Lj5g0016867			Lj5g0016867.1
TaPSS1	NIL			phosphatidylserine synthase
Cnx3	AT1G01290	114286	115549	molybderin biosynthesis protein
GA2ox2	AT1G30040	10537632	10539815	C-19 gibberellin 2-oxidase
SMO3				sterol methyl oxidase 3
APR1	AT4G04610	2325001	2327011	APR1
AT2G26420.1	AT2G26420.1	11246512	11249317	1-phosphatidylinositol-4-phosphate 5-kinase
AT1G48030	AT1G48030	17720802	17722810	dihydrolipoyl dehydrogenase
petD		6382	6864	ChreCp002
Os01g43520	LOC_Os01g43520			LOC_Os01g43520.1
AT3G07800	AT3G07800	2489393	2491093	thymidine kinase
AT4G02610	AT4G02610	1147634	1149336	tryptophan synthase
PatTpsCF2	NIL			germacrene A synthase
AT1G67490	AT1G67490	25284114	25290274	alpha-glucosidase
AT2G42310	AT2G42310	17632290	17632967	NADH-ubiquinone oxidoreductase subunit
DODA	NIL			4,5-DOPA-dioxygenase
HPO	NIL			premnaspirodiene oxygenase
JOMT				thujaplicatin 5-<i>O</i>-methyltransferase
UBA2				ubiquitin-activating enzyme
cDOPA5GT	NIL			UDPG:cyclo-DOPA 5-O-glucosyltransferase
CPO	NIL			coproporphyrinogen III oxidase subunit
LPLAT1	AT1G12640	4303310	4305796	lysophospholipid acyltransferase 1
DFR1	NIL			dihydroflavonol-4-reductase
Soltu.DM.07G023660	Soltu.DM.07G023660			Soltu.DM.07G023660.1 // Soltu.DM.07G023660.2
Lj6g0021042	Lj6g0021042			Lj6g0021042.1
ApL2	AT1G27680	9631272	9634584	ADP-glucose pyrophosphorylase
AT5G63510	AT5G63510	25441226	25443067	NADH-ubiquinone oxidoreductase subunit
ABA2	NIL			zeaxanthin epoxidase
AT5G04040	AT5G04040	1089651	1093178	triacylglycerol lipase
UGT72B14	NIL			tyrosol UDP-glucosyltransferase
CA9OMT				coniferyl alcohol 9-methyltransferase subunit
GPPS.SSU	NIL			GPPS.SSU
AT1G07110	AT1G07110	2178103	2184147	fructose-2,6-bisphosphate 2-phosphatase
AOX1a	AT3G22370	7906800	7908747	alternative oxidase
LjContig00272g0024265	LjContig00272g0024265			LjContig00272g0024265.1
AT3G05970	AT3G05970	1786324	1791808	long-chain-fatty-acid-CoA ligase
estExt_fgenesh2_pg.C_600051		408307	411682	194226
SGTL1	NIL			3&beta;-hydroxy sterol glucosyltransferase
AT3G25810	AT3G25810	9432004	9435081	monoterpene synthese [multifunctional]
AT1G08980	AT1G08980	2884414	2886623	indole-3-acetamide amidohydrolase
AT1G51260	AT1G51260	19007044	19009309	1-acylglycerol-3-phosphate O-acyltransferase
lfs	NIL			lachrymator factor synthase / lachrymatory factor synthase
F3GGT1	NIL			cyanidin 3-<i>O</i>-galactoside 2''-<i>O</i>-xylosyltransferase
Ipk				<i>myo</i>-inositol polyphosphate kinase
Acet6	NIL			fatty acid Delta6-acetylenase [multifunctional]
ACOS5	AT1G62940	23314200	23316412	acyl-CoA synthase / fatty acyl-CoA synthetase
Glyma.02G230900	Glyma.02G230900			Glyma.02G230900
FOMT6	NIL			flavonoid 6-<i>O</i>-methyltransferase
PPOX	AT4G01690	729887	732433	protoporphyrinogen oxidase
APXT	NIL			ascorbate peroxidase
NAR5	NIL	1281955	1286542	130019
AT1G68760	AT1G68760			8-oxo-dGTP pyrophosphohydrolase
ADK2	AT5G03300	796441	799175	adenosine kinase
Zm00001d015618	Zm00001d015618	101493553	101498009	Cynnamyl-alcohol dehydrogenase
Cre10.g422600	Cre10.g422600	1650108	1655800	Cre10.g422600.t1.1
AtPIS1	AT1G68000	25494677	25496716	AtPIS1
oy1	Zm00001d023536	9162610	9167073	magnesium chelatase
Glyma.03G187400	Glyma.03G187400			Glyma.03G187400
PHS1	NIL			&beta;-phellandrene synthase 1
imt1	NIL			myo-inositol 4-O-methyltransferase
SDH8	AT2G46390.1	19049374	19050133	complex II subunit 8
AT1G76680	AT1G76680	28781740	28783361	12-oxophytodienoate reductase
APS1	AT3G22890	8112730	8114997	APS1
AF042332	NIL			24-methylenesterol <i>C</i>-methyltransferase
DUR3B	Cre08.g360250.t1.2	248015	252887	154212
Glyma.02G225850	Glyma.02G225850			Glyma.02G225850
AtSOT18	AT1G74090	27866570	27867854	desulfoglucosinolate sulfotransferase
ImpFADX	NIL			Delta12 fatty acid conjugase
CYP84A4				p-coumaraldehyde 3-hydroxylase
MVK	AT5G27450	9690610	9693231	mevalonate kinase
CGT	NIL			chlorogenate-dependent caffeoyltransferase
A1	NIL			dihydroflavonol 4-reductase/flavanone 4-reductase
OJ1754_E06.14	NIL			chalcone isomerase
str	NIL			strictosidine synthase
CiGASsh	NIL			germacrene A synthase
AAPT1	NIL			CDP-choline:1,2-diacylglycerol cholinephosphotransferase
AT2G04350	AT2G04350	1515802	1519305	long-chain-fatty-acid-CoA ligase
SPS	OsI_004842			sucrose phosphate synthase
CCD1	NIL			zeaxanthin dioxygenase / lycopene dioxygenase
F3GalTase	NIL			flavonol 3-<i>O</i>-&beta;-<i>D</i>-galactosyltransferase
GR2	AT3G54660	20240722	20244160	glutathione reductase
UGT78D1	AT1G30530	10814641	10816565	myricetin 3-O-glucosyltransferase [multifunctional]
LTC1	NIL			germacrene A synthase
AADC	NIL			PLP-dependent decarboxylase
AT3G20040	AT3G20040			glucokinase / fructokinase
AR2	AT4G30210	14796770	14800928	NADPH-hemoprotein reductase
DFR1	NIL			dihydroflavonol-4-reductase
GLN1;3	AT3G17820	6097420	6099601	glutamate-ammonia ligase
JAR6	NIL			jasmonoyl-amino acid synthetase
AT5G66190	AT5G66190	26468190	26470425	NADPH dehydrogenase
D29811	NIL			norcoclaurine 6-O-methyltransferase
(+)-germacrene D synthase	NIL			(+)-germacrene D synthase
AT5G54810	AT5G54810	22281820	22284011	tryptophan synthase, beta subunit
AT4G08170	AT4G08170	5163396	5167176	inositol-tetrakisphosphate 1-kinase 2
SAMT1				salicylate 1-<i>O</i>-methyltransferase
ApL1	AT5G19220	6463826	6466833	ADP-glucose pyrophosphorylase large subunit//glucose-1-phosphate adenylyltransferase
SrCHR1	NIL			chalcone reductase
fad5	AT3G15850			palmitate desaturase
fad3	AT2G29980			linoleate desaturase
urate oxidase				urate oxidase
taxane 10&beta;-hydroxylase	NIL			taxane 10beta-hydroxylase
4CL2	AT3G21240	7454275	7457385	4-coumarate-CoA ligase
Lj4g0025345	Lj4g0025345			Lj4g0025345.1
KO1	NIL			<i>ent</i>-kaurene oxidase
AT3G29200	AT3G29200	11165630	11167653	chorismate mutase
ISA3	AT4G09020	5784073	5788999	alpha-amylase
PAT2	Cre09.g396650.t1.1			phosphate acetyltransferase
HNL	NIL			aliphatic (<i>R</i>)-hydroxynitrile lyase monomer
ATPvG		644135	645886	59366
SUS4	AT3G43190	15190008	15194977	sucrose synthase
Valcs	NIL			(+)-valencene synthase
Cre01.g040050	Cre01.g040050			Cre01.g040050.t1.1
UT	NIL			galactose-1-phosphate uridylyltransferase
AY069920	NIL			GTP cyclohydrolase I subunit
ALS	NIL			ALS subunit
HYD1	AT1G20050	6949034	6950310	Delta8-Delta7-sterol isomerase
CacGene12278	CacGene12278			CacGene12278.t1
GolS-1	NIL			galactinol synthase
AT2G06850	AT2G06850	2763523	2765717	xyloglucan:xyloglucosyl transferase//ghydrolase, acting on glycosyl bonds
PAO	AT3G44880	16394580	16397297	pheophorbide a oxygenase
AT3G60880	AT3G60880	22505827	22507672	dihydrodipicolinate synthase
CPN60A		132342	140135	24547
EGS1	NIL			eugenol synthase
IpeOMT3				6-O-methyldeacetylisoipecoside aglycon 7-O-methyltransferase
HCT	NIL			hydroxycinnamoyl-coenzyme A shikimate/quinate hydroxycinnamoyl transferase [multifunctional]
COX90	Cre16.g691850	159975	161226	185375
Os01g43520	NIL			ceramidase
GAMT2	AT5G56300			gibberellin carboxyl methyltransferase
GS-OX4	AT1G62570	23172801	23175770	glucosinolate S-oxygenase
PRX2	NIL			aurone synthase
G6PD5	AT3G27300	10084286	10087933	glucose-6-phosphate 1-dehydrogenase
CNX2		23226	25748	106419
pRQPT1	NIL			quinolinate phosphoribosyltransferase (decarboxylating)
LjContig00155g0015810	LjContig00155g0015810			LjContig00155g0015810.1
Crep1	NIL			delta12 linoleate acetylenase
CTAS	NIL			p-coumaroyltriacetic acid synthase
TSBType2	AT5G38530			trytophan synthase, beta subunit
FAR6	AT3G07020	21010710	21013037	fatty acyl-CoA reductase (alcohol-forming)
NTRA	AT2G17420	7571427	7573621	NTRA subunit
ZE	NIL			zeaxanthin epoxidase
AT5G07440	AT5G07440	2355938	2358195	glutamate dehydrogenase [NAD(P)+]
GA3ox1	NIL			gibberellin 2&beta;,3&beta;-hydroxylase
AT1G79440	AT1G79440	29887103	29892303	succinate-semialdehyde dehydrogenase//3-chloroallyl aldehyde dehydrogenase
pLIN-GEN	NIL			linamarase
GA2ox1	AT1G78440	29516492	29517944	C19 gibberellin 2-oxidase
TKPR1	AT4G35420			tetraketide alpha-pyrone reductase
C12RT1	NIL			flavanone 7-O-glucoside-2"-O-rhamnosyltransferase
AT4G13300	AT4G13300	7743187	7746359	(Z)-&gamma;-bisabolene synthase
CINV1	AT1G35580	13122182	13125242	alkaline/neutral invertase
sst-1	NIL			Sst-1
AT5G14950	AT5G14950	4837155	4841945	alpha-mannosidase
KAS I	NIL			&beta;-ketoacyl-ACP synthetase I
SCA1	NIL			plasma membrane Ca2+-ATPase
AT5G50600	AT5G50600	20606928	20608915	11&beta;-, 17&beta;-hydroxysteroid dehydrogenase / 17&beta;-ketosteroid reductase
F3OGT	NIL			flavonol 3-<i>O</i>-glucosyltransferase
AT4G33150	AT4G33150	15985192	15991541	lysine-ketoglutarate reductase / saccharopine dehydrogenase
CAD1	NIL			geraniol dehydrogenase
PSAD		509251	510264	184971
Soltu.DM.07G017520	Soltu.DM.07G017520			Soltu.DM.07G017520.1
bcp	NIL			beta-caryophyllene synthase
NIT3	AT3G44320	16004366	16006798	Nit3
RpALN	NIL			allantoinase
CYP719A23				pluviatolide synthase
AT3G55120	AT3G55120	20441091	20442447	chalcone isomerase
GCS	NIL			glucosylceramide synthase
SOS4	AT5G37850	15082604	15086229	SOS4 subunit
Z-ISO				15-<i>cis</i>-&zeta;-carotene isomerase
GEDH1	NIL			geraniol dehydrogenase
4CL1	AT1G51680	19162420	19165220	4-coumarate-CoA ligase
Glyma.18G265900	Glyma.18G265900			Glyma.18G265900
UXS3	AT5G59290	23932756	23935418	UDP-glucuronate decarboxylase
SMT	NIL			scoulerine 9-O-methyltransferase
AtCAD5	AT4G34230	16386723	16388726	cinnamyl alcohol dehydrogenase
&beta;-OHase 2	AT5G52570	21352019	21354228	&beta;-ring hydroxylase
SARED1	NIL			chelirubine reductase / chelerythrine reductase / sanguinarine reductase
NAR1.1		410749	413773	192094
nda2				NAD(P)H dehydrogenase
PAP19	NIL			purple acid phosphatase
Lj2g0021084	Lj2g0021084			Lj2g0021084.1
AT1G78500	AT1G78500	29536539	29540070	oxidosqualene cyclase
AT1G31220	AT1G31220	11156783	11158664	phosphoribosylglycinamide formyltransferase
Cre01.g051900	Cre01.g051900	5286131	5287892	Cre01.g051900.t1.2
MT1	NIL			S-tetrahydrocolumbamine O-methyltransferase [multifunctional]
PRX3	NIL			phenoxy radical VII peroxidase
LinS	NIL			linalool synthase
CRN1	AT5G13800	4451840	4454624	pheophytinase
5PTase13	AT1G05630	1682317	1687362	inositol-polyphosphate 5-phosphatase
Zm00001d048021	Zm00001d048021	148185906	148187354	hydroperoxide dehydratase
GA2ox2	NIL			gibberellin 2-oxidase
CAD1-A	NIL			(+)-delta-cadinene synthase
KAT2	AT2G33150	14054555	14058217	3-ketoacyl-CoA thiolase
RhAAT1	NIL			geraniol acetyltransferase
AT1G49430	AT1G49430	18294711	18299493	long-chain-fatty-acid-CoA ligase
Glyma.02G104300	Glyma.02G104300			Glyma.02G104300
AT5G37830	AT5G37830	15073418	15078007	5-oxoprolinase
SMT1	AT5G13710	4423698	4427061	sterol 24-C-methyltransferase
BIS3	NIL			biphenyl synthase
UGT71A8	NIL			lignan glucosyltransferase
CaMXMT1	NIL			theobromine synthase
Glyma.11G000500	Glyma.11G000500			Glyma.11G000500
AT1G27980	AT1G27980	9748724	9752756	carboxy-lyase
GA2ox1	NIL			gibberellin 2-oxidase
g-&beta;phe	NIL			&beta;-phellandrene synthase
AT1G03090	AT1G03090	739679	744184	methylcrotonoyl-CoA carboxylase-alpha subunit
LAT1	NIL			lysophosphatidate acyltransferase
DicGT4	NIL			chalcone 2'-O-glucosyltransferase
Lj3g0021326	Lj3g0021326			Lj3g0021326.1
Glyma.15G032000	Glyma.15G032000			Glyma.15G032000
PnL	NIL			subunit PnL
PKS3	NIL			aromatic polyketide synthase
CYP714D1				gibberellin 16&alpha;, 17-epoxidase
NYS	NIL			neoxanthin synthase
LOX1	NIL			9<i>S</i>-lipoxygenase
PCS1	NIL			homophytochelatin synthase
Glyma.12G163366	Glyma.12G163366			Glyma.12G163366
2-ODD				(-)-deoxypodophyllotoxin synthase
SMO4	101258266			sterol methyl oxidase 4
AT2G45440	AT2G45440	18737914	18740089	dihydrodipicolinate synthase
HSA&beta;				HSA&beta; subunit
LjContig00272g0002292	LjContig00272g0002292			LjContig00272g0002292.1
LHCBM8		672302	674167	Chlorophyll a-b binding protein of LHCII
AT2G20360	AT2G20360	8793069	8796554	NADH-ubiquinone oxidoreductase 39 kDa subunit
GES	NIL			GES
PDC1	NIL			pyruvate decarboxylase
SSy	NIL			santalene synthase
PDSTS3	NIL			subunit PDSTS3
TPS-Far	NIL			(E,E)-alpha-farnesene synthase
Lj4g0023686	Lj4g0023686			Lj4g0023686.1
KcMS	NIL			triterpene synthase
AAE	NIL			acetylajmalan esterase
AS	NIL			&alpha;/&beta;-amyrin synthase
vp10				molypdopterin molybdotransferase
UGT88A1	AT3G16520	5618551	5620879	UDP-glycosyltransferase
hbfd2				carotenoid 4-hydroxy-&beta;-ring 4-dehydrogenase
AT5G11770	AT5G11770	3790807	3793001	NADH-ubiquinone oxidoreductase 20 kDa subunit
AT2G33220	AT2G33220	14085928	14087234	NADH-ubiquinone oxidoreductase B 16.6 kDa subunit
pOS-SAMS2	NIL			S-adenosyl-L-methionine synthetase
CPI1	AT5G50375	20528893	20531474	cycloeucalenol cycloisomerase
Glyma.03G187500	Glyma.03G187500			Glyma.03G187500
GALT1	AT1G26810	9286630	9289956	<i>N</i>-acetyl-&beta;-D-glucosaminide &beta;-(1,3)-galactosyltransferase
AT2G07727	AT2G07727	3450575	3452041	cytochrome <i>b</i>
M63853	NIL			Caffeic acid O-methyltransferase
CesA6	AT5G64740	25898292	25903920	UDP-glucose:1,4-beta-D-glucan 4-beta-D-glucosyltransferase
Lj4g0022057	Lj4g0022057			Lj4g0022057.1
CYP80G2	NIL			(S)-corytuberine synthase
RNR2B		16425394	16426393	RNR2B subunit
CYP71B15	AT3G26830	9889190	9890942	CYP71B15 monooxygenase//dihydrocamalexic acid decarboxylase
PGM	AT5G51820	21080594	21085283	phosphoglucomutase
RGP3	AT3G08900	2708092	2709720	UDP-L-arabinose mutase
SPS2	AT1G17050	5829092	5831326	geranylgeranyl-diphosphate all-trans-nonaprenyl diphosphate synthase
AtIMD3	AT1G31180	11142695	11144614	3-isopropylmalate dehydrogenase
Cre10.g435250	Cre10.g435250			Cre10.g435250.t1.2
Cre09.g396300	Cre09.g396300			Cre09.g396300.t1.1
AT4G39940	AT4G39940	18519711	18521562	APS kinase
AIM1	AT4G29010	14297050	14302141	OPC4-3-hydroxyacyl-CoA dehydrogenase [multifunctional]
CYP85A2	AT3G30180	11813216	11816244	monooxygenase
3&beta;-HSD	NIL			3beta-hydroxysteroid dehydrogenase
AT1G19570	AT1G19570	6773302	6774519	glutathione dehydrogenase (ascorbate)
KCS1	AT1G01120	57269	59167	very-long-chain 3-ketoacyl-CoA synthase
GolS	NIL			galactinol synthase / fagopyranosyl synthase
LjContig00155g0013494	LjContig00155g0013494			LjContig00155g0013494.1
PAAS	NIL			phenylacetaldehyde synthase
dHG-6-OMT	NIL			desoxyhemigossypol-6-O-methyltransferase
SDH4	AT2G46505.1	19096801	19097621	complex II subunit 4
SUS3	AT4G02280	994927	998967	sucrose synthase
AT5G58780	AT5G58780	23752855	23754561	dehydrodolichyl diphosphate synthase
Sg				
AT4G27260	AT4G27260	13653615	13656210	indole-3-acetic acid amido synthetase
CesA8	AT4G18780	10312635	10316801	UDP-glucose:1,4-beta-D-glucan 4-beta-D-glucosyltransferase
CER10	AT3G55360	20531907	20533991	very-long-chain enoyl-CoA reductase
Bx7	NIL			TRIBOA-glucoside methyltransferase
cs1	NIL			cycloartenol synthase
UGT73C5	AT2G36800	15430459	15432095	glucosyltransferase
C3	NIL			delta-guaiene synthase
SBEI	NIL			starch branching enzyme I
Soltu.DM.09G025390	Soltu.DM.09G025390			Soltu.DM.09G025390.1
AT2G23610	AT2G23610	10051259	10053612	methylesterase
AT3G11750	AT3G11750	3715077	3715910	dihydroneopterin aldolase
ACS4	AT2G22810	9724871	9726552	1-aminocyclopropane-1-carboxylate synthase
Soltu.DM.09G025380	Soltu.DM.09G025380			Soltu.DM.09G025380.1 // Soltu.DM.09G025380.2
TT3	AT5G42800	17181369	17183146	dihydroflavonol 4-reductase
DXR	AT5G62790	25231351	25234665	1-deoxy-D-xylulose-5-phosphate reductoisomerase
AT5G49570	AT5G49570			peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase
CYP719A5				(S)-chelanthifoline synthase
IPMS1	AT1G18500	6369340	6373018	IPMS1 subunit
Peaxi162Scf03967g00005	Peaxi162Scf03967g00005			Peaxi162Scf03967g00005
PK	NIL			pyridoxal kinase subunit
NIA1	AT1G77760	29240697	29244339	nitrate reductase 1 subunit
cs	NIL			3-carene synthase
AT5G04660	AT5G04660			CYP77A4
SUS5	AT5G37180	14735468	14740143	sucrose synthase
aah6h	NIL			hyoscyamine 6&beta;-hydroxylase
DFR2	NIL			dihydroflavonol-4-reductase
LOC_Os04g10160	LOC_Os04g10160	5464777	5466782	CYP99A2
PKSA	AT1G02050			tetraketide alpha-pyrone synthase [multifunctional]
GES	NIL			geraniol synthase
IPT2	AT2G27760	11831875	11834668	adenylate dimethylallyltransferase
AT4G33650	AT4G33650	16160938	16166932	GTPase
AT4G36400	AT4G36400			D-2-hydroxyglutarate dehydrogenase
ATP5		1384011	1387934	191596
Soltu.DM.07G021330	Soltu.DM.07G021330			Soltu.DM.07G021330.1
BGLU44	AT3G18080	6191563	6194458	cellobiose glucosidase
AT2G41490	AT2G41490	17308773	17311289	UDP-N-acetylglucosamine:dolichyl-phosphate N-acetylglucosaminephosphotransferase
LjContig00155g0003088	LjContig00155g0003088			LjContig00155g0003088.1
Glyma.18G274400	Glyma.18G274400			Glyma.18G274400
Lj6g0025855	Lj6g0025855			Lj6g0025855.1
MIPS				myo-inositol-3-monophosphate synthase
Peaxi162Scf00047g00116	Peaxi162Scf00047g00116			Peaxi162Scf00047g00116
DHS1	NIL			deoxyhypusine synthase
Glyma.06G252566	Glyma.06G252566			Glyma.06G252566
NAR1.2	Cre06.g309000	437733	440642	135648
AT1G05590	AT1G05590	1669349	1671875	hydrolase, hydrolyzing O-glycosyl compounds//beta-N-acetylhexosaminidase
LHCBM3		87853	90504	Light-harvesting chlorophyll-a/b binding protein LhcII-1.3
CRSH	AT3G17470			GTP diphosphokinase
AT1G69640	AT1G69640	26197322	26199358	sphinganine 4-hydroxylase
CNL				cinnamate:CoA ligase
ACX1A	NIL			OPC4 acyl-CoA oxidase / OPC6 acyl-CoA oxidase / OPC8 acyl-CoA oxidase
TPPA	AT5G51460	20918203	20921765	trehalose-phosphatase
BADH	NIL			betaine aldehyde dehydrogenase
IPT7	AT3G23630	8488702	8490217	adenylate dimethylallyltransferase
AT1G24360	AT1G24360	8640571	8643467	AT1G24360
cICDH	AT1G65930	24542567	24545792	NADP+-dependent isocitrate dehydrogenase
DBOX	NIL			tetrahydropapaverine oxidase
4'CGT	NIL			chalcone 4'-O-glucosyltransferase
OMT2	NIL			flavonoid O-methyltransferase
ACLB-2	AT5G49460	20071749	20075690	ATP-citrate lyase//ATP citrate synthase
3GT1	NIL			UDP-glucose:cyanidin 3-<i>O</i>-&beta;-<i>D</i>-glucosyltransferase
NUOB22		308848	310566	164424
nad2		6707	7855	ChrepMp05
3MaT	NIL			anthocyanidin 3-<i>O</i>-glucoside 6"-<i>O</i>-malonyltransferase
Seita.6G068100	Seita.6G068100			Seita.6G068100.1.p
atpH	NIL	128949	129197	ChreCp053
AF352395	NIL			BPS subunit
AT5G20980	AT5G20980	7122802	7128361	5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase//methionine synthase
SULP2	NIL	5702222	5705919	116547
AT4G24520	AT4G24520	12662851	12667171	NADPH-hemoprotein reductase
DES1				acyl-CoA 9-desaturase
NtNAS1	NIL			nicotianamine synthase
APY2	AT5G18280	6050516	6054343	apyrase//ATPase
AT5G40870	AT5G40870	16392136	16395880	uridine kinase / uridine kinase/uracil phosphoribosyltransferase
POMT-7	NIL			flavonoid 7-<i>O</i>-methyltransferase
Soltu.DM.07G021340	Soltu.DM.07G021340			Soltu.DM.07G021340.1
CURS2	NIL			curcumin synthase
atpI		170917	171633	ChreCp062
SAMS1	NIL			S-adenosylmethionine synthetase
CYP719A3	NIL			(S)-nandinine synthase / stylopine synthase
Lj3g0020060	Lj3g0020060			Lj3g0020060.1
UGP1	AT3G03250			UTP:glucose-1-phosphate uridylyltransferase
AOS	NIL			9-allene oxide synthase
LHCB5		550135	552534	CP26
CYP94B1	AT5G63450.1			jasmonoyl-L-amino acid 12-hydroxylase
CYP72A1	NIL			secologanin synthase
AT3G06050	AT3G06050	1826079	1827867	peroxidase
Pavir.1KG382300	Pavir.1KG382300			Pavir.1KG382300.1.p
AT5G51290	AT5G51290	20861224	20865566	diacylglycerol kinase
KSL5i	NIL			<i>ent</i>-isokaurene synthase
AT2G26740	AT2G26740	11400043	11401357	epoxide hydrolase
GAPC	NIL			glyceraldehyde 3-phosphate dehydrogenase
YchB	NIL			4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
NAR1.5		197405	201235	137328
Glyma.03G186900	Glyma.03G186900			Glyma.03G186900
dpep	NIL			Dpep
PR	NIL			(+)-pulegone reductase
ARAF1	AT3G10740	3360893	3365419	alpha-N-arabinofuranosidase
HQT	NIL			hydroxycinnamoyl CoA quinate transferase
VTE1	AT4G32770	15804919	15807987	tocopherol cyclase
Pavir.9KG170400	Pavir.9KG170400			Pavir.9KG170400.1.p
VEP1	AT4G24220			enone reductase
psbM		64197	64301	Photosystem II reaction center protein M
MUM4	AT1G53500	19970612	19973425	UDP-glucose 4,6-dehydratase [multifunctional]
Zm00001d002358	Zm00001d002358	10781211	10785395	coproporphyrinogen oxidase
AT2G43090.1	AT2G43090.1	17926004	17927506	isopropylmalate isomerase, small subunit
BBE	NIL			tetrahydroprotoberberine synthase
AKR4C9	AT2G37770	15841961	15844079	aldo-keto reductase family 4 member C9
CER4	AT4G33790	16204159	16207950	alcohol-forming fatty acyl-CoA reductase
OPR3	AT2G06050	2359111	2362299	12-oxophytodienoate reductase
BIO1	AT5G57590	23335734	23338765	adenosylmethionine-8-amino-7-oxononanoate transaminase
CGT	NIL			phloretin 3-C-glucosyltransferase [multifunctional]
AT2G23560	AT2G23560	10036355	10037462	methylesterase
AT5G27380	AT5G27380	9667974	9670965	glutathione synthase
Pavir.3KG443800	Pavir.3KG443800			Pavir.3KG443800.2.p
Lj6g0026933	Lj6g0026933			Lj6g0026933.1
SGT	NIL			salicylic acid glucosyltransferase
ACH	NIL			hydroxyhopane synthase
CINV2	AT4G09510	6021161	6023870	neutral/alkaline invertase
CYP86A4	AT1G01600	218994	221286	fatty acid &omega;-hydroxylase
CYP719A5	NIL			(S)-chelanthifoline synthase
COMT2	NIL			caffeate 3-<i>O</i>-methyltransferase
AT2G06925	AT2G06925	2842350	2843298	phospholipase A2
ASA1	Cre07.g340350.t1.1	211727	217616	78831
A6PR	NIL			aldose-6-phosphate reductase subunit
AT3G51160	AT3G51160			GDP-mannose 4,6-dehydratase
AT5G14760	AT5G14760	4768471	4772156	L-aspartate oxidase
TPS-Lon	NIL			beta-longipinene synthase [multifunctional]
VDE1	NIL			antheraxanthin de-epoxidase / violaxanthin de-epoxidase
OSCPNX1	NIL			cycloartenol synthase
AT4G25970	AT4G25970	13185739	13189444	phosphatidylserine decarboxylase
A/N-InvE	AT5G22510	7474813	7477944	alkaline/neutral invertase
UGE3	AT1G63180	23431076	23433268	UDP-glucose 4-epimerase subunit
OTC	AT1G75330	28269920	28272073	ornithine carbamoyltransferase
LePGT-2	NIL			4-hydroxybenzoate geranyltransferase
FES	NIL			fenchol synthase
cpps2				<i>ent</i>-copalyl diphosphate synthase
SAHH	NIL			S-adenosylhomocysteine hydrolase
AT3G21110	AT3G21110	7402487	7405647	phosphoribosylaminoimidazolesuccinocarboxamide synthase
PKS1	NIL			p-coumaroyl-diketide-CoA synthase
AT5G42100	AT5G42100	16846379	16848467	hydrolase, hydrolyzing O-glycosyl compounds
tdc	NIL			tryptophan decarboxylase
NUDT7	AT4G12720	7487336	7490074	ADP-ribose hydrolase subunit
